Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
2,Africa,2010,GDP real rates of growth (percent),5.5954,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2015,GDP real rates of growth (percent),2.5825,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2017,GDP real rates of growth (percent),3.4791,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
2,Africa,2018,GDP real rates of growth (percent),3.1844,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1985,GDP in current prices (millions of US dollars),142506.2163,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1995,GDP in current prices (millions of US dollars),207392.1348,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2005,GDP in current prices (millions of US dollars),373105.5942,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2010,GDP in current prices (millions of US dollars),648726.6228,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2015,GDP in current prices (millions of US dollars),729675.1671,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2017,GDP in current prices (millions of US dollars),661194.4199,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2018,GDP in current prices (millions of US dollars),666216.4768,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1985,GDP per capita (US dollars),1114.8658,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1995,GDP per capita (US dollars),1285.1717,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2005,GDP per capita (US dollars),1927.9981,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2010,GDP per capita (US dollars),3204.2212,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2015,GDP per capita (US dollars),3267.1722,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2017,GDP per capita (US dollars),2847.0234,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2018,GDP per capita (US dollars),2814.289,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1985,GDP in constant 2010 prices (millions of US dollars),310882.7189,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1995,GDP in constant 2010 prices (millions of US dollars),390995.4475,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2005,GDP in constant 2010 prices (millions of US dollars),603915.0957,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2010,GDP in constant 2010 prices (millions of US dollars),764169.9723,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2015,GDP in constant 2010 prices (millions of US dollars),729675.1671,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2017,GDP in constant 2010 prices (millions of US dollars),791872.9152,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2018,GDP in constant 2010 prices (millions of US dollars),820016.058,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1985,GDP real rates of growth (percent),6.2265,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,1995,GDP real rates of growth (percent),1.6418,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2005,GDP real rates of growth (percent),6.1339,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2010,GDP real rates of growth (percent),4.7342,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2015,GDP real rates of growth (percent),1.7789,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2017,GDP real rates of growth (percent),5.1681,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
15,Northern Africa,2018,GDP real rates of growth (percent),3.554,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
